sample,input,filtered,denoisedF,denoisedR,merged,nonchim
F3D0_S188,7793,7113,6976,6978,6533,6521
F3D1_S189,5869,5299,5228,5239,5028,5017
F3D141_S207,5958,5463,5331,5350,4973,4850
F3D142_S208,3183,2914,2799,2832,2595,2521
F3D143_S209,3178,2941,2822,2867,2552,2518
F3D144_S210,4827,4312,4151,4224,3643,3504
F3D145_S211,7377,6741,6592,6628,6079,5820
F3D146_S212,5021,4560,4447,4470,3968,3879
F3D147_S213,17070,15637,15433,15506,14233,13006
F3D148_S214,12405,11413,11250,11268,10528,9935
F3D149_S215,13083,12017,11858,11898,11155,10653
F3D150_S216,5509,5032,4882,4928,4349,4240
F3D2_S190,19620,18075,17907,17944,17431,16835
F3D3_S191,6758,6250,6145,6176,5850,5486
F3D5_S193,4448,4052,3930,3994,3716,3716
F3D6_S194,7989,7369,7234,7295,6865,6678
F3D7_S195,5129,4765,4647,4671,4426,4215
F3D8_S196,5294,4871,4783,4782,4560,4531
F3D9_S197,7070,6504,6338,6442,6093,6016
